fighter_name,as_of_date,history_established,provenance,age,height,reach,height_missing,reach_missing,southpaw,switch,striker_style,grappler_style,prior_dwcs_bouts,prior_dwcs_wins,prior_dwcs_win_pct,prior_dwcs_finish_pct,prior_dwcs_ko_win_pct,prior_dwcs_sub_win_pct,prior_dwcs_dec_win_pct,prior_dwcs_avg_duration,prior_dwcs_over25_rate,prior_dwcs_stats_available,prior_dwcs_sig_landed_pm,prior_dwcs_sig_attempted_pm,prior_dwcs_sig_accuracy,prior_dwcs_td_landed_per15,prior_dwcs_td_attempted_per15,prior_dwcs_td_accuracy,prior_dwcs_kd_per15,prior_dwcs_sub_attempts_per15,global_career_bouts,global_career_wins,global_career_losses,global_career_win_pct,global_recent3_win_pct,global_recent5_win_pct,global_career_finish_pct,global_ko_win_pct,global_sub_win_pct,global_decision_win_pct,global_finish_loss_pct,global_avg_opp_win_pct,global_avg_opp_elo,global_quality_win_count,global_elo,global_major_bouts,global_major_win_pct,global_win_streak,global_days_since_last_fight
Alvi Dasuyev,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,,185.42,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5364164045064667,1523.0524921569947,5.0,1681.2708369947497,4.0,1.0,14.0,108.0
Callum Connor,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,,182.88,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,0.75,0.625,0.125,0.25,0.0,0.6333333333333333,1520.823967197495,3.0,1563.3233951909551,0.0,0.0,4.0,171.0
Damian Piwowarczyk,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,29.02181427407818,198.12,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,4.0,0.7333333333333333,1.0,1.0,0.9090909090909091,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.5,0.6593999762451735,1584.1295415421162,11.0,1689.363640837399,25.0,0.68,7.0,192.0
Emilio Quissua,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,29.4215486970985,193.04,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,0.625,0.625,0.0,0.375,0.0,0.4895334567393391,1534.2878860996311,4.0,1644.969045530079,4.0,1.0,10.0,234.0
Jaden Ortega,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,24.01144445128921,185.42,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,0.2866161616161616,1437.0210578001706,0.0,1538.4826865400078,0.0,0.0,3.0,208.0
Marcos Degli,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,26.360568663285353,167.64,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,3.0,0.8235294117647058,1.0,1.0,0.9285714285714286,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.3333333333333333,0.6060176472304467,1558.5453173468602,11.0,1732.9893866848633,12.0,1.0,17.0,242.0
Norbert Novenyi Jr.,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,26.962908204822824,180.34,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,1.0,0.9090909090909091,1.0,0.8,0.9,0.4,0.5,0.1,0.0,0.6238274562408067,1536.2734810408417,6.0,1678.639801204955,14.0,0.8571428571428571,4.0,180.0
Paris Moran,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,30.631703594187424,172.72,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,3.0,0.8235294117647058,0.6666666666666666,0.6,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.6666666666666666,0.7257957393483709,1570.780086151096,5.0,1559.8358558549196,0.0,0.0,2.0,128.0
Piero Guaylupo,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,21.897780241894083,175.26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.0,0.08333333333333333,0.0,0.39781297134238314,1499.153293911671,2.0,1661.7565088921044,0.0,0.0,13.0,118.0
Theo Haig,2026-09-22,1,MMA Global career history + Sherdog current record/post-cutoff + ESPN prior DWCS,30.081384285782732,187.96,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,8.0,7.0,1.0,0.875,1.0,0.8,1.0,0.0,1.0,0.0,1.0,0.385064935064935,1494.8827214459873,2.0,1639.4500914272157,11.0,1.0,3.0,207.0
