fighter_id,name,height,weight,age,dob,gender,weight_class,reach,stance,style,gym,country
4294832,Carlos Prates,185.42,77.11,32.0,1993-08-17,male,welterweight,198.12,switch,striker,fighting nerds,brazil
4243624,Tracy Cortez,165.1,56.7,31.0,1993-12-10,female,womens-flyweight,166.37,orthodox,mixed martial artist,fight ready,usa
4690541,Gregory Rodrigues,190.5,83.91,33.0,1992-02-17,male,middleweight,190.5,orthodox,grappling,kill cliff fc,brazil
4963343,Denise Gomes,157.48,52.16,25.0,1999-12-30,female,womens-strawweight,160.02,orthodox,mixed martial artist,parana vale tudo,brazil
5134399,Nick Klein,185.42,84.37,30.0,1995-09-08,male,middleweight,195.58,orthodox,,pura vida bjj,usa
5213179,Yadier del Valle,175.26,65.77,29.0,1996-07-29,male,featherweight,175.26,southpaw,,gracie barra westchase,cuba
4873640,Jailton Almeida,190.5,106.59,34.0,1991-06-26,male,heavyweight,200.66,orthodox,boxing,galpao da luta,brazil
4227265,Azamat Murzakanov,177.8,92.99,36.0,1989-04-12,male,lightheavyweight,181.61,southpaw,striker,k dojo,russia
4815978,Mitch Raposo,165.1,57.15,26.0,1998-10-16,male,flyweight,163.83,switch,mixed martial artist,regiment traing center,usa
5223435,Jose Miguel Delgado,180.34,65.77,27.0,1998-04-21,male,featherweight,187.96,switch,,mma lab,usa
4025699,Brendan Allen,187.96,83.91,29.0,1995-12-28,male,middleweight,190.5,orthodox,brazilian jiu-jitsu,kill cliff fc,usa
3165120,Mike Malott,185.42,77.56,33.0,1991-11-07,male,welterweight,185.42,orthodox,mixed martial artist,niagara top team,canada
4835135,Jasmine Jasudavicius,170.18,56.25,36.0,1989-03-01,female,womens-flyweight,172.72,orthodox,brawler,niagara top team,canada
4081024,Matt Frevola,175.26,70.76,35.0,1990-06-11,male,lightweight,180.34,orthodox,wrestling,gracie tampa south,usa
5211247,Djorden Santos,182.88,83.91,28.0,1997-08-01,male,middleweight,191.77,orthodox,,american top team,brazil
5149815,Yousri Belgaroui,195.58,84.37,33.0,1992-06-29,male,middleweight,200.66,orthodox,,teixeira mma & fitness,netherlands
4339130,Montel Jackson,177.8,61.69,33.0,1992-04-24,male,bantamweight,190.5,southpaw,striker,pura vida bjj,usa
5218817,Mario Pinto,195.58,111.58,27.0,1998-03-14,male,heavyweight,200.66,orthodox,,fightzone london,portugal
5212738,Michael Aswell Jr.,172.72,70.31,25.0,2000-09-27,male,featherweight,175.26,orthodox,,metro fight club,usa
4904998,Clayton Carpenter,167.64,56.7,29.0,1996-06-09,male,flyweight,167.64,orthodox,mixed martial artist,mma lab,usa
4869702,Thomas Petersen,185.42,113.4,30.0,1995-03-30,male,heavyweight,187.96,southpaw,boxing,spartan mma,usa
4684135,Joe Pyfer,187.96,83.91,29.0,1996-09-17,male,middleweight,190.5,orthodox,boxing,marquez mma,usa
4944080,Ozzy Diaz,193.04,83.91,34.0,1990-11-22,male,middleweight,200.66,orthodox,,california mixed martial marts,usa
3091099,Andre Muniz,185.42,83.91,35.0,1990-02-17,male,middleweight,198.12,southpaw,mixed martial artist,tata fight team,brazil
5016786,Farid Basharat,172.72,62.14,28.0,1997-08-02,male,bantamweight,180.34,orthodox,mixed martial artist,xtreme couture,afghanistan
4700616,Nikolay Veretennikov,185.42,76.66,35.0,1989-12-22,male,welterweight,187.96,orthodox,sambo,kings mma,kazakhstan
4290344,Austin Vanderford,180.34,78.93,35.0,1990-03-21,male,welterweight,187.96,orthodox,,american top team,usa
5152409,Ramon Taveras,172.72,66.68,31.0,1994-01-09,male,featherweight,177.8,southpaw,mixed martial artist,bulldog boxing,usa
4786358,Charlie Campbell,182.88,70.31,30.0,1995-07-03,male,lightweight,184.15,orthodox,mixed martial artist,serra-longo fight team ,usa
5060489,Rodolfo Bellato,190.5,92.99,29.0,1996-02-05,male,lightheavyweight,190.5,orthodox,,team nogueira,brazil
5212850,Josias Musasa,172.72,61.23,26.0,1998-10-10,male,bantamweight,187.96,southpaw,,elite training centre,democratic republic of congo
4372194,Luana Carolina,167.64,61.69,32.0,1993-06-11,female,womens-bantamweight,175.26,orthodox,muay thai,nova uniao ,brazil
5075992,Alexia Thainara,162.56,52.16,29.0,1995-11-20,female,womens-strawweight,170.18,orthodox,,ribas family,brazil
5264925,Mantas Kondratavičius,190.5,84.37,26.0,1999-07-17,male,middleweight,191.77,orthodox,,fighter house,lithuania
5308768,Murtazali Magomedov,180.34,65.77,26.0,1999-08-26,male,featherweight,179.07,orthodox,,khk mma team,kyrgyzstan
5308770,Sofia Montenegro,167.64,56.7,26.0,1999-06-18,female,womens-flyweight,171.45,orthodox,,alfa team,argentina
4687104,Javier Reyes,177.8,65.77,31.0,1993-10-10,male,featherweight,185.42,,,bareknuckle mma,colombia
5308872,Jair de Oliveira,175.26,92.53,29.0,1996-05-09,male,lightheavyweight,176.53,,,ct lucas cebola,brazil
5236383,Hecher Sosa,172.72,61.69,30.0,1995-08-25,male,bantamweight,177.8,orthodox,,afc villalba,spain
5307810,Iwo Baraniewski,182.88,92.99,26.0,1998-11-20,male,lightheavyweight,186.69,orthodox,,aligatores fight club,poland
5307815,Adam Livingston,187.96,70.76,24.0,2001-08-15,male,lightweight,181.61,orthodox,,long island mma,usa
5109011,Paddy McCorry,190.5,84.37,27.0,1997-12-09,male,middleweight,185.42,switch,,fight academy ireland,ireland
5282412,Cody Chovancek,172.72,61.69,27.0,1998-07-24,male,bantamweight,170.18,switch,,niagara top team,canada
5145766,Jean Silva,170.18,65.77,28.0,1996-12-27,male,featherweight,175.26,orthodox,striker,fighting nerds,brazil
4503229,David Martinez,165.1,61.23,27.0,1998-08-03,male,bantamweight,167.64,orthodox,,bonebreakers mma,mexico
4685871,Dustin Stoltzfus,182.88,83.91,33.0,1991-11-15,male,middleweight,190.5,orthodox,muay thai,xtreme couture,usa
4421517,Duško Todorović,185.42,84.37,31.0,1994-05-19,male,middleweight,187.96,orthodox,mixed martial artist,secutor,serbia
5218137,Luis Gurule,165.1,56.7,31.0,1993-11-16,male,flyweight,162.56,orthodox,,factoryx muay thai,usa
5060467,Sedriques Dumas,187.96,84.37,30.0,1995-08-06,male,middleweight,200.66,orthodox,kickboxing,team remedy bjj & mma,usa
5239615,Steven Asplund,195.58,118.39,27.0,1998-07-16,male,heavyweight,198.12,orthodox,,minnesota top team,usa
4958170,Lerryan Douglas,177.8,65.77,30.0,1995-04-27,male,featherweight,182.88,orthodox,,bloodline combat,brazil
5307524,Freddy Vidal,190.5,95.25,31.0,1994-05-06,male,lightheavyweight,201.93,orthodox,,serra-longo fight team ,usa
5293557,Samuel Sanches,177.8,69.85,22.0,2003-01-28,male,lightweight,189.23,orthodox,,galpao da luta,brazil
5278269,Carol Foro,157.48,52.16,28.0,1997-03-21,female,womens-strawweight,156.21,orthodox,,rplay thai,brazil
4835137,Caio Borralho,185.42,83.91,32.0,1993-01-16,male,middleweight,190.5,southpaw,mixed martial artist,fighting nerds,brazil
5122238,Mauricio Ruffy,180.34,70.76,29.0,1996-06-17,male,lightweight,190.5,orthodox,striker,fighting nerds,brazil
4379328,Brendson Ribeiro,190.5,93.44,29.0,1996-09-08,male,lightheavyweight,205.74,orthodox,striker,brazilian tko,brazil
5092403,Trey Waters,195.58,77.56,30.0,1995-02-21,male,welterweight,195.58,orthodox,striker,ludus mma,usa
4629138,Jean-Paul Lebosnoyani,180.34,77.11,26.0,1999-01-27,male,welterweight,182.88,switch,,california mixed martial marts,usa
5216978,Cezary Oleksiejczuk,190.5,83.91,25.0,2000-01-06,male,middleweight,191.77,southpaw,,fighting nerds,poland
5124146,Samuel Silva,182.88,69.85,29.0,1996-01-02,male,lightweight,184.15,orthodox,,evolucao thai,brazil
5150021,Eduardo Chapolin,170.18,56.7,29.0,1995-11-23,male,flyweight,170.18,orthodox,,bloodline combat,brazil
5295176,David Mgoyan,175.26,65.77,21.0,2004-06-25,male,featherweight,179.07,orthodox,,american top team,russia
5291085,Ryan Gandra,185.42,83.46,30.0,1995-05-08,male,middleweight,189.23,orthodox,,flavio baiano team,brazil
5099679,Marcio Barbosa,167.64,65.77,27.0,1998-05-22,male,featherweight,179.07,orthodox,,ronildo nobre judo club,brazil
5220971,Alik Lorenz,187.96,93.44,28.0,1997-01-25,male,lightheavyweight,196.85,orthodox,,hard drive mma,usa
5085291,Manoel Sousa,175.26,70.31,28.0,1997-06-04,male,lightweight,177.8,orthodox,,academia octógono,brazil
4413642,Darion Abbey,187.96,102.51,32.0,1993-02-25,male,heavyweight,205.74,orthodox,,kill cliff fc,usa
4903365,Waldo Cortes-Acosta,193.04,118.84,33.0,1991-10-03,male,heavyweight,198.12,orthodox,striker,ukf gym,dominican republic
5144066,Kevin Borjas,165.1,57.15,27.0,1997-12-06,male,flyweight,172.72,orthodox,mixed martial artist,pitbull martial arts center,peru
5085318,Gauge Young,175.26,70.31,25.0,2000-07-14,male,lightweight,177.8,orthodox,,ignite jiu-jitsu,usa
5147737,Lone'er Kavanagh,167.64,57.15,26.0,1999-06-09,male,flyweight,170.18,orthodox,,great britain top team,england
4329444,Kyle Daukaus,190.5,83.91,32.0,1993-02-27,male,middleweight,193.04,southpaw,mixed martial artist,martinez bjj,usa
5213352,Diyar Nurgozhay,187.96,92.99,28.0,1997-04-22,male,lightheavyweight,187.96,southpaw,,arlan mma pro team,kazakhstan
4969974,Jose Delano,172.72,65.77,29.0,1996-09-11,male,featherweight,177.8,orthodox,,brazilian top team,brazil
4694832,Cam Rowston,190.5,83.46,30.0,1995-01-19,male,middleweight,198.12,orthodox,,city kickboxing,australia
5212852,Louis Lee Scott,172.72,62.14,25.0,2000-02-26,male,bantamweight,177.8,orthodox,,manchester top team,england
5220468,Guilherme Uriel,185.42,112.94,28.0,1997-02-18,male,heavyweight,187.96,orthodox,,evolution combat mma,brazil
