uid,fight_id,event_id,event_date,event_name,promotion,fighter_id,fighter_name,fight_result,opponent_id,opponent_name,title_fight,fight_end_round,fight_result_type,fight_duration,over_2_5
s:3301~l:3321~e:600036494~c:401579192,600036494-4816283-4426000,600036494,2023-08-30,Dana White's Contender Series,DWC,4294832,carlos prates,W,4816283,mitch ramirez,False,2,KO-TKO,6.23,False
s:3301~l:3321~e:401128923~c:268320,401128923-4426285-4021217,401128923,2019-07-31,Dana White's Contender Series,DWC,4243624,tracy cortez,W,4426285,mariya agapova,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401222786~c:401240128,401222786-4021217-4040956,401222786,2020-09-16,Dana White's Contender Series,DWC,4690541,gregory rodrigues,L,4040956,jordan williams,False,1,KO-TKO,2.32,False
s:3301~l:3321~e:600022207~c:401466056,600022207-4021217-4601333,600022207,2022-08-24,Dana White's Contender Series,DWC,4963343,denise gomes,W,4601333,rayanne dos santos,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047781~c:401728707,600047781-5147552-4815978,600047781,2024-10-16,Dana White's Contender Series,DWC,5134399,nick klein,W,5147552,heraldo souza,False,1,SUBMISSION,0.62,False
s:3301~l:3321~e:600047781~c:401724486,600047781-5223435-5057385,600047781,2024-10-16,Dana White's Contender Series,DWC,5213179,yadier del valle,W,5057385,antonio monteiro,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600008642~c:401348175,600008642-5211247-4684857,600008642,2021-09-15,Dana White's Contender Series,DWC,4873640,jailton almeida,W,4684857,nasrudin nasrudinov,False,2,SUBMISSION,6.82,False
s:3301~l:3321~e:600008640~c:401348173,600008640-5068545-3110833,600008640,2021-09-01,Dana White's Contender Series,DWC,4227265,azamat murzakanov,W,3110833,matheus scheffel,False,1,KO-TKO,3.0,False
s:3301~l:3321~e:600010081~c:401377630,600010081-5159959-4705600,600010081,2021-10-13,Dana White's Contender Series,DWC,4815978,mitch raposo,L,4705600,jake hadley,False,2,SUBMISSION,8.18,False
s:3301~l:3321~e:600047624~c:401703014,600047624-5211247-5212749,600047624,2024-08-13,Dana White's Contender Series,DWC,5223435,jose miguel delgado,W,5212749,ernie juarez,False,2,KO-TKO,6.42,False
s:3301~l:3321~e:401128921~c:268455,401128921-4255574-5159959,401128921,2019-07-17,Dana White's Contender Series,DWC,4025699,brendan allen,W,4255574,aaron jeffery,False,1,SUBMISSION,3.38,False
s:3301~l:3321~e:600010080~c:401361415,600010080-4892412-3068125,600010080,2021-10-06,Dana White's Contender Series,DWC,3165120,mike malott,W,4892412,shimon smotritsky,False,1,SUBMISSION,0.65,False
s:3301~l:3321~e:600008642~c:401361176,600008642-4944080-4686723,600008642,2021-09-15,Dana White's Contender Series,DWC,4835135,jasmine jasudavicius,W,4686723,julia polastri,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:400972138~c:265521,400972138-3091099-3926497,400972138,2017-08-30,Dana White's Contender Series,DWC,4081024,matt frevola,W,3926497,jose flores,False,2,SUBMISSION,8.53,False
s:3301~l:3321~e:600047775~c:401699791,600047775-5218817-4848673,600047775,2024-09-04,Dana White's Contender Series,DWC,5211247,djorden santos,W,4848673,will currie,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047776~c:401703288,600047776-5224461-2312150,600047776,2024-09-11,Dana White's Contender Series,DWC,5149815,yousri belgaroui,W,5224461,taiga iwasaki,False,3,KO-TKO,12.57,True
