uid,fighter_id,SDBL,SDBA,SDB_ACC,SDHL,SDHA,SDH_ACC,SDLL,SDLA,SDL_ACC,TSL,TSA,TS_ACC,SSL,SSA,SS_ACC,KD,SCBL,SCBA,SCB_ACC,SCHL,SCHA,SCH_ACC,SCLL,SCLA,SCL_ACC,RV,SR,TDA,TDL,TDS,TD_ACC,SGBL,SGBA,SGB_ACC,SGHL,SGHA,SGH_ACC,SGLL,SGLA,SGL_ACC,AD,ADTB,ADHG,ADTM,ADTS,SM,TSLL,TSLA,SL_ACC,TSBL,TSBA,SB_ACC,TSHL,TSHA,SH_ACC
s:3301~l:3321~e:600036494~c:401579192,4294832,8,8,1.0,18,34,0.53,4,5,0.8,30,47,0.64,30,47,0.64,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4,5,0.8,8,8,1.0,18,34,0.53
s:3301~l:3321~e:401128923~c:268320,4243624,5,7,0.71,7,32,0.22,1,3,0.33,111,180,0.62,66,126,0.52,0,8,8,1.0,1,2,0.5,1,1,1.0,0,0.000,7,4,0,0.57,24,25,0.96,19,48,0.4,0,0,0.0,6,3,1,1,1,0,2,4,0.5,37,40,0.92,27,82,0.33
s:3301~l:3321~e:401222786~c:401240128,4690541,4,7,0.57,9,16,0.56,0,0,0.0,14,25,0.56,14,25,0.56,0,0,1,0.0,1,1,1.0,0,0,0.0,0,0.000,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,4,8,0.5,10,17,0.59
s:3301~l:3321~e:600022207~c:401466056,4963343,10,18,0.56,47,155,0.3,40,57,0.7,106,248,0.43,103,244,0.42,0,0,1,0.0,6,13,0.46,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,40,57,0.7,10,19,0.53,53,168,0.32
s:3301~l:3321~e:600047781~c:401728707,5134399,1,1,1.0,0,1,0.0,0,0,0.0,1,6,0.17,1,2,0.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,1,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0.0,1,1,1.0,0,1,0.0
s:3301~l:3321~e:600047781~c:401724486,5213179,10,12,0.83,35,84,0.42,12,12,1.0,177,246,0.72,125,188,0.66,0,13,20,0.65,27,30,0.9,9,9,1.0,0,0.000,6,2,0,0.33,2,2,1.0,17,19,0.89,0,0,0.0,0,0,0,0,0,1,21,21,1.0,25,34,0.74,79,133,0.59
s:3301~l:3321~e:600008642~c:401348175,4873640,0,2,0.0,1,5,0.2,1,1,1.0,12,23,0.52,2,8,0.25,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,5,3,0,0.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,1.0,0,2,0.0,1,5,0.2
s:3301~l:3321~e:600008640~c:401348173,4227265,4,4,1.0,3,11,0.27,0,0,0.0,9,17,0.53,9,17,0.53,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,1,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,4,4,1.0,5,13,0.38
s:3301~l:3321~e:600010081~c:401377630,4815978,1,2,0.5,13,70,0.19,4,6,0.67,36,97,0.37,21,82,0.26,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,3,2,0,0.67,0,0,0.0,3,4,0.75,0,0,0.0,0,0,0,0,0,0,4,6,0.67,1,2,0.5,16,74,0.22
s:3301~l:3321~e:600047624~c:401703014,5223435,7,17,0.41,19,55,0.35,2,2,1.0,48,98,0.49,40,90,0.44,1,5,5,1.0,2,2,1.0,0,0,0.0,0,0.000,4,3,0,0.75,0,0,0.0,5,9,0.56,0,0,0.0,0,0,0,0,0,0,2,2,1.0,12,22,0.55,26,66,0.39
