market,architecture,n,accuracy,brier,log_loss,auc,promoted
under_0_5,logistic,320,0.84375,0.13391481415868953,0.4810930222931236,0.5347985347985348,True
under_0_5,boosting,320,0.8375,0.14217341600946715,0.5279260515776073,0.4896734471202556,False
under_1_5,logistic,320,0.6,0.24743953309933478,0.7722640511191308,0.5560873834069711,False
under_1_5,boosting,320,0.521875,0.27362852733796406,0.7538119553097402,0.47895189003436434,True
under_2_5,logistic,320,0.5125,0.27034797246599146,0.8027649061800298,0.5046989894223585,False
under_2_5,boosting,320,0.496875,0.28281774853331443,0.7769541932439418,0.49593016397310374,True
goes_distance,logistic,320,0.59375,0.2617047189978757,0.8120526422498614,0.49921240760935415,False
goes_distance,boosting,320,0.553125,0.27691366206699,0.7754284758803045,0.47776566097176787,True
round_2_starts,logistic,320,0.646875,0.23978403065571302,0.721920656607477,0.5355844155844156,True
round_2_starts,boosting,320,0.621875,0.25869641329132903,0.7428073301655138,0.4810822510822511,False
round_3_starts,logistic,320,0.559375,0.27283267882932793,0.8122509931592704,0.5230895452414439,False
round_3_starts,boosting,320,0.48125,0.28923077554495,0.7928129087515977,0.48480231286138464,True
