class,feature,coefficient_standardized
DEC,cand_wins,0.15441557880728962
DEC,cand_losses,0.009655136468785701
DEC,cand_finish_win_pct,0.40711795129593764
DEC,cand_ko_win_pct,0.2888976896324055
DEC,cand_sub_win_pct,0.19786514122306062
DEC,cand_dec_win_pct,0.25673229224696237
DEC,cand_recent5_finish_pct,-0.5227120816607279
DEC,cand_r1_finish_win_pct,0.05711003521852954
DEC,cand_early_finish_win_pct,-0.12365441870852616
DEC,cand_multi_route_finisher,-0.09506644823781782
DEC,cand_avg_duration_sec,-0.39537801972731296
DEC,cand_elo,0.013907736025494789
DEC,opp_losses,0.08470408268153146
DEC,opp_finish_loss_pct,-0.030511697053944256
DEC,opp_ko_loss_pct,0.08979389499001543
DEC,opp_sub_loss_pct,-0.14643648270702458
DEC,opp_avg_duration_sec,0.23021532528895988
DEC,opp_elo,0.10995289802090007
DEC,elo_edge,-0.0632351823592709
DEC,experience_edge,-0.013844144760197175
DEC,ko_access,-0.30281915954019845
DEC,sub_access,-0.36474098892062157
DEC,decision_route,0.3384990593918697
DEC,finish_conversion_vs_vulnerability,-0.2506319406137764
KO_TKO,cand_wins,-0.11064868416591257
KO_TKO,cand_losses,-0.0486929896953343
KO_TKO,cand_finish_win_pct,-0.22950504835736926
KO_TKO,cand_ko_win_pct,0.025287687604916557
KO_TKO,cand_sub_win_pct,-0.3513551064202667
KO_TKO,cand_dec_win_pct,-0.08335977859727954
KO_TKO,cand_recent5_finish_pct,0.43611735307166394
KO_TKO,cand_r1_finish_win_pct,0.07001394568376428
KO_TKO,cand_early_finish_win_pct,0.04895785238671844
KO_TKO,cand_multi_route_finisher,0.13949680761472505
KO_TKO,cand_avg_duration_sec,0.15983113677174055
KO_TKO,cand_elo,-0.12691916632452968
KO_TKO,opp_losses,0.014873917716404833
KO_TKO,opp_finish_loss_pct,0.18237007977187233
KO_TKO,opp_ko_loss_pct,0.21956114564725282
KO_TKO,opp_sub_loss_pct,-0.0005293687218559485
KO_TKO,opp_avg_duration_sec,-0.1572391075052369
KO_TKO,opp_elo,-0.1350020336501469
KO_TKO,elo_edge,-0.02046698988400348
KO_TKO,experience_edge,0.029669890708626207
KO_TKO,ko_access,0.4615978209675838
KO_TKO,sub_access,-0.21424687382232085
KO_TKO,decision_route,-0.0982926975202037
KO_TKO,finish_conversion_vs_vulnerability,0.032822823224791485
SUB,cand_wins,-0.04376689464137706
SUB,cand_losses,0.039037853226548465
SUB,cand_finish_win_pct,-0.17761290293856763
SUB,cand_ko_win_pct,-0.3141853772373212
SUB,cand_sub_win_pct,0.15348996519720629
SUB,cand_dec_win_pct,-0.17337251364968273
SUB,cand_recent5_finish_pct,0.08659472858906425
SUB,cand_r1_finish_win_pct,-0.12712398090229304
SUB,cand_early_finish_win_pct,0.07469656632180795
SUB,cand_multi_route_finisher,-0.04443035937690635
SUB,cand_avg_duration_sec,0.2355468829555724
SUB,cand_elo,0.11301143029903492
SUB,opp_losses,-0.09957800039793645
SUB,opp_finish_loss_pct,-0.15185838271792812
SUB,opp_ko_loss_pct,-0.3093550406372686
SUB,opp_sub_loss_pct,0.1469658514288809
SUB,opp_avg_duration_sec,-0.07297621778372373
SUB,opp_elo,0.025049135629247044
SUB,elo_edge,0.0837021722432752
SUB,experience_edge,-0.015825745948428362
SUB,ko_access,-0.1587786614273855
SUB,sub_access,0.578987862742942
SUB,decision_route,-0.24020636187166597
SUB,finish_conversion_vs_vulnerability,0.21780911738898517
