event_date,fighter_a,fighter_b,fighter_a_matched,fighter_b_matched,both_matched,fighter_a_last_source_date,fighter_b_last_source_date
2017-07-11,azunna anyanwu,greg rebello,1,1,1,2017-02-18,2016-03-11
2017-07-11,charles byrd,jamie pickett,1,0,0,2015-05-08,
2017-07-11,boston salmon,ricky turcios,1,1,1,2016-09-09,2016-09-10
2017-07-11,manny vazquez,joby sanchez,1,1,1,2017-03-31,2017-02-25
2017-07-19,dan spohn,angel de anda,1,0,0,2017-01-27,
2017-07-19,lazar stojadinovic,thanh le,1,1,1,2017-07-18,2017-07-18
2017-07-19,casey kenney,cee jay hamilton,1,0,0,2017-07-18,
2017-07-19,sidney outlaw,michael cora,1,1,1,2016-10-15,2017-05-19
2017-07-19,alfred khashakyan,sean o'malley,1,1,1,2017-07-18,2017-07-18
2017-07-25,geoff neal,chase waldon,1,1,1,2017-07-14,2017-05-19
2017-07-25,jason jackson,kyle stewart,1,1,1,2016-09-09,2017-05-05
2017-07-25,karl roberson,ryan spann,1,1,1,2015-07-18,2017-05-13
2017-07-25,alonzo menifield,daniel jolly,1,1,1,2017-06-02,2013-02-01
2017-07-25,luis gomez,dan ige,1,1,1,2017-04-07,2017-05-19
2017-08-01,julian marquez,phil hawes,1,1,1,2017-05-19,2016-07-30
2017-08-01,brandon davis,austin arnett,0,0,0,,
2017-08-01,ronaldo candido de oliveira,carlos candelario,1,0,0,2015-09-27,
2017-08-01,cheyden leialoha,john castaneda,1,1,1,2017-05-10,2017-05-05
2017-08-01,james gray,kyler phillips,1,1,1,2014-10-17,2017-06-02
2017-08-08,kevin gray,alex perez,1,1,1,2017-05-05,2017-03-25
2017-08-08,mike rodriguez,jamelle jones,1,1,1,2016-11-04,2017-05-20
2017-08-08,ricky simon,donavon frelow,1,1,1,2016-03-04,2017-03-18
2017-08-08,julio arce,peter petties,1,1,1,2017-02-24,2017-04-08
2017-08-08,everett sims,shelton graves,0,1,0,,2017-06-02
2017-08-16,buddy wallace,charles byrd,0,1,0,,2015-05-08
2017-08-16,grant dawson,adrian diaz,1,1,1,2017-08-15,2017-08-15
2017-08-16,cameron olson,karl reed,1,0,0,2017-05-19,
2017-08-16,jaime alvarez,martin day,1,1,1,2015-03-13,2017-03-18
2017-08-16,tiffany masters,jamie colleen miller,0,0,0,,
2017-08-23,mark cherico,mike santiago,1,1,1,2015-05-09,2016-06-17
2017-08-23,kennedy nzechukwu,anton berzin,1,1,1,2016-11-05,2017-05-20
2017-08-23,benito lopez,steven peterson,1,1,1,2017-08-22,2017-08-22
2017-08-23,jordan espinosa,nick urso,1,1,1,2017-08-22,2017-08-22
2017-08-23,jp buys,joby sanchez,0,1,0,,2017-08-22
2017-08-30,casey kenney,adam antolin,1,1,1,2017-08-29,2017-08-29
2017-08-30,kelly velasco,lauren mueller,0,0,0,,
2017-08-30,matt frevola,jose flores,0,1,0,,2017-02-03
2017-08-30,allen crowder,don'tale mayes,1,1,1,2017-08-29,2017-08-29
2017-08-30,bevon lewis,elias urbina,1,1,1,2017-08-29,2017-08-29
2018-06-13,greg hardy,austen lane,1,1,1,2018-06-12,2018-06-12
2018-06-13,sean lally,chris curtis,1,1,1,2018-01-27,2018-04-06
2018-06-13,kevin holland,will santiago jr.,1,1,1,2018-06-12,2018-06-12
2018-06-13,alonzo menifield,dashawn boatwright,1,1,1,2018-06-12,2018-06-12
2018-06-13,montel jackson,rico disciullo,1,1,1,2018-06-12,2018-06-12
2018-06-20,matt sayles,yazan hajeh,1,1,1,2018-06-19,2018-06-19
2018-06-20,emiliano sordi,ryan spann,1,1,1,2018-06-19,2018-06-19
2018-06-20,austin springer,giga chikadze,1,0,0,2016-01-23,
2018-06-20,dwight grant,tyler hill,1,1,1,2016-11-19,2016-10-21
2018-06-27,josh parisian,greg rebello,1,1,1,2017-04-29,2017-07-11
2018-06-27,austin tweedy,te edwards,1,1,1,2018-06-26,2018-06-26
2018-06-27,jamall emmers,julian erosa,1,1,1,2018-06-26,2018-06-26
2018-06-27,jaimelene nievera,antonina shevchenko,1,1,1,2018-06-26,2018-06-26
2018-07-11,joey gomez,kevin aguilar,1,1,1,2016-11-12,2017-08-04
2018-07-11,toby misech,ricky palacios,1,1,1,2018-07-10,2018-07-10
2018-07-11,jordan espinosa,rilley dutro,1,0,0,2018-07-10,
2018-07-11,jalin turner,max mustaki,1,1,1,2018-07-10,2018-07-10
2018-07-11,bevon lewis,alton cunningham,1,1,1,2018-07-10,2018-07-10
2018-07-18,vince morales,domingo pilarte,1,1,1,2018-07-17,2018-07-17
2018-07-18,maycee barber,jamie colleen miller,1,0,0,2017-09-08,
2018-07-18,austin vanderford,angelo trevino,1,1,1,2018-07-17,2018-07-17
2018-07-18,chibwikem onyenegecha,anthony adams,0,1,0,,2018-06-30
2018-07-18,edmen shahbazyan,antonio jones,1,1,1,2018-07-17,2018-07-17
2018-07-25,nick newell,alexander munoz,1,0,0,2018-07-24,
2018-07-25,jeff hughes,josh appelt,1,1,1,2018-07-24,2018-07-24
2018-07-25,jimmy crute,chris birchler,1,1,1,2018-03-23,2016-03-19
2018-07-25,mike davis,sodiq yusuff,0,1,0,,2017-12-15
2018-07-25,chase hooper,canaan kawaihae,1,1,1,2018-07-24,2018-07-24
2018-08-01,jordan griffin,maurice mitchell,1,1,1,2018-07-31,2018-07-31
2018-08-01,roosevelt roberts,garrett gross,1,1,1,2018-07-31,2018-07-31
2018-08-01,justin sumter,ian heinisch,1,1,1,2018-07-31,2018-07-31
2018-08-01,juan adams,shawn teed,0,1,0,,2017-02-18
2018-08-01,mitchell sipe,don'tale mayes,1,1,1,2018-07-31,2018-07-31
2018-08-08,tebaris gordon,greg hardy,1,1,1,2018-08-07,2018-08-07
2018-08-08,bobby moffett,jacob kilburn,1,1,1,2018-08-07,2018-08-07
2018-08-08,marty coughran,alex gilpin,0,1,0,,2018-08-07
2018-08-08,kennedy nzechukwu,dennis bryant,1,0,0,2016-11-05,
2018-08-08,joe lowry,devonte smith,0,1,0,,2018-03-03
2018-08-11,antonio arroyo,diego henrique da silva,1,1,1,2018-08-10,2018-08-10
2018-08-11,marcos conrado jr.,augusto sakai,1,1,1,2018-08-10,2018-08-10
2018-08-11,gustavo gabriel,rogerio bontorin,0,1,0,,2018-08-10
2018-08-11,sarah frota,maiara amanajas dos santos,1,1,1,2018-08-10,2018-08-10
2018-08-11,mayra bueno silva,mayana kellem,0,0,0,,
2018-08-12,bruno assis,andre muniz,1,1,1,2018-08-11,2018-08-11
2018-08-12,leonardo silva de oliveira,marcio alexandre jr.,0,1,0,,2018-08-11
2018-08-12,johnny walker,henrique da silva,1,1,1,2018-08-11,2018-08-11
2018-08-12,taila santos,estefani almeida,1,1,1,2018-08-11,2018-08-11
2018-08-12,marina rodriguez,maria oliveira,1,1,1,2018-08-11,2018-08-11
2018-08-12,raulian paiva,allan nascimento,1,1,1,2018-08-11,2018-08-11
2018-08-12,gleidson cutis,thiago moises,0,1,0,,2018-08-11
2018-08-12,gisele moreira,dayana silva,1,1,1,2018-08-11,2018-08-11
