event_date,event_id,train_rows,test_rows
2019-06-26,401128919,96,5
2019-07-10,401128920,101,4
2019-07-17,401128921,105,5
2019-07-24,401128922,110,5
2019-07-31,401128923,115,5
2019-08-07,401128924,120,5
2019-08-14,401128925,125,5
2019-08-21,401128926,130,5
2019-08-28,401128918,135,4
2020-08-05,401221629,139,4
2020-08-12,401221630,143,5
2020-08-19,401221631,148,5
2020-08-26,401221632,153,5
2020-09-02,401222724,158,5
2020-09-09,401222785,163,5
2020-09-16,401222786,168,5
2020-11-05,401223624,173,4
2020-11-11,401223625,177,5
2020-11-18,401223626,182,5
2021-09-01,600008640,187,4
2021-09-08,600008641,191,4
2021-09-15,600008642,195,5
2021-09-22,600008643,200,5
2021-09-29,600008644,205,4
2021-10-06,600010080,209,5
2021-10-13,600010081,214,5
2021-10-20,600011551,219,5
2021-10-27,600011552,224,6
2021-11-03,600011553,230,5
2022-07-27,600021770,235,4
2022-08-03,600021771,239,5
2022-08-10,600021772,244,5
2022-08-17,600021773,249,5
2022-08-24,600022207,254,5
2022-08-31,600022208,259,5
2022-09-07,600022209,264,5
2022-09-14,600022210,269,5
2022-09-21,600022211,274,5
2022-09-28,600022212,279,5
2023-08-08,600036332,284,5
2023-08-15,600036492,289,5
2023-08-23,600036493,294,4
2023-08-30,600036494,298,5
2023-09-06,600036495,303,5
2023-09-13,600036496,308,5
2023-09-20,600036497,313,4
2023-09-27,600036498,317,5
2023-10-04,600036499,322,4
2023-10-11,600036500,326,6
2024-08-13,600047624,332,5
2024-08-20,600047773,337,5
2024-08-28,600047774,342,5
2024-09-04,600047775,347,5
2024-09-11,600047776,352,4
2024-09-18,600047777,356,5
2024-09-25,600047778,361,5
2024-10-02,600047779,366,5
2024-10-09,600047780,371,5
2024-10-16,600047781,376,5
2025-08-12,600055020,381,5
2025-08-20,600055021,386,5
2025-08-27,600055005,391,5
2025-09-03,600055006,396,5
2025-09-10,600055007,401,5
2025-09-17,600055031,406,5
2025-09-24,600055032,411,5
