feature,coefficient_before,coefficient_after,delta,abs_delta
global_major_bouts_diff,-0.17434808226137485,-0.0038862047546560042,0.17046187750671885,0.17046187750671885
global_elo_diff,0.14510099202250015,0.29576644586340184,0.1506654538409017,0.1506654538409017
global_career_wins_diff,0.2660699315915009,0.1667397717883576,-0.09933015980314328,0.09933015980314328
global_win_streak_diff,1.3376776278957971,1.2388028117332364,-0.09887481616256077,0.09887481616256077
prior_dwcs_td_attempted_per15_diff,0.1142219662182583,0.024606248475550832,-0.08961571774270746,0.08961571774270746
global_recent3_win_pct_diff,1.170516969303014,1.2520771371800068,0.08156016787699283,0.08156016787699283
global_quality_win_count_diff,0.03387036168485772,0.11284492982024467,0.07897456813538695,0.07897456813538695
global_career_bouts_diff,0.1598021296083467,0.09160821405920708,-0.06819391554913962,0.06819391554913962
global_major_win_pct_diff,-0.5938654349187922,-0.6570630037839464,-0.06319756886515426,0.06319756886515426
global_recent5_win_pct_diff,-0.10114347901789379,-0.16405173585061336,-0.06290825683271957,0.06290825683271957
global_career_win_pct_diff,0.06839264447267238,0.01182078614876607,-0.05657185832390631,0.05657185832390631
prior_dwcs_sig_accuracy_diff,-0.20012427618716616,-0.14842113601507675,0.05170314017208941,0.05170314017208941
prior_dwcs_td_landed_per15_diff,0.3871860930099,0.43591215761925656,0.04872606460935658,0.04872606460935658
global_career_losses_diff,-0.16181674619153974,-0.1325676343650335,0.029249111826506247,0.029249111826506247
global_career_finish_pct_diff,-0.18170400573277143,-0.15592765529455088,0.025776350438220547,0.025776350438220547
prior_dwcs_over25_rate_diff,0.004487555945700072,0.030229108705842198,0.025741552760142127,0.025741552760142127
global_avg_opp_elo_diff,0.33012227921626014,0.3524916278986011,0.022369348682340973,0.022369348682340973
age_diff,-0.2753596045562633,-0.29405326080345434,-0.01869365624719105,0.01869365624719105
prior_dwcs_sig_landed_pm_diff,-0.2605031797491793,-0.2788477724650472,-0.018344592715867913,0.018344592715867913
prior_dwcs_td_accuracy_diff,-0.004162462598177774,-0.02098483270891626,-0.016822370110738488,0.016822370110738488
southpaw_diff,0.3106976054028031,0.29528878074920933,-0.015408824653593778,0.015408824653593778
global_sub_win_pct_diff,-0.020918199763532923,-0.005651284890630594,0.01526691487290233,0.01526691487290233
prior_dwcs_stats_available_diff,0.25338775233377864,0.238968729781237,-0.014419022552541627,0.014419022552541627
prior_dwcs_avg_duration_diff,-0.13570634523687353,-0.12275297410996601,0.012953371126907517,0.012953371126907517
global_finish_loss_pct_diff,-0.11624804487258601,-0.12909665654637062,-0.012848611673784607,0.012848611673784607
prior_dwcs_kd_per15_diff,0.23887626829457698,0.25108287736212803,0.012206609067551055,0.012206609067551055
prior_dwcs_sub_win_pct_diff,-0.04256552559468639,-0.030884999067285434,0.011680526527400956,0.011680526527400956
prior_dwcs_sig_attempted_pm_diff,0.37865055200292197,0.3670602188548184,-0.011590333148103593,0.011590333148103593
prior_dwcs_dec_win_pct_diff,-0.06548162992384628,-0.07671975430124096,-0.011238124377394687,0.011238124377394687
global_avg_opp_win_pct_diff,0.08288444293720447,0.07207946219414105,-0.010804980743063422,0.010804980743063422
reach_diff,0.3271275978096033,0.3168599027970035,-0.010267695012599831,0.010267695012599831
striker_style_diff,0.8771023916253006,0.8671295435791108,-0.009972848046189808,0.009972848046189808
prior_dwcs_finish_pct_diff,0.0884360543069257,0.09783890938847528,0.009402855081549588,0.009402855081549588
prior_dwcs_sub_attempts_per15_diff,-0.39462373694861047,-0.38546584101359527,0.009157895935015203,0.009157895935015203
switch_diff,0.12377743753890942,0.1148854471219391,-0.008891990416970322,0.008891990416970322
global_ko_win_pct_diff,-0.15082066408919304,-0.14331136022764873,0.007509303861544303,0.007509303861544303
reach_missing_diff,-0.30447533105793606,-0.31100902693655474,-0.006533695878618684,0.006533695878618684
height_missing_diff,-0.33564410946181,-0.3292081466828908,0.006435962778919224,0.006435962778919224
prior_dwcs_bouts_diff,-0.05270811056734938,-0.058036069641662164,-0.005327959074312785,0.005327959074312785
global_days_since_last_fight_diff,0.10025971640328755,0.10536979191821927,0.005110075514931714,0.005110075514931714
height_diff,-0.21349729861372083,-0.21828230835372497,-0.004785009740004148,0.004785009740004148
grappler_style_diff,0.38439581040187004,0.3818863993874685,-0.0025094110144015525,0.0025094110144015525
global_decision_win_pct_diff,-0.04357688226869317,-0.04146779101584008,0.002109091252853086,0.002109091252853086
prior_dwcs_wins_diff,0.11101999474654423,0.11310125387331335,0.002081259126769125,0.002081259126769125
prior_dwcs_win_pct_diff,0.00734451630410367,0.005421830756100177,-0.0019226855480034928,0.0019226855480034928
prior_dwcs_ko_win_pct_diff,0.167606337402692,0.16922830707397074,0.001621969671278728,0.001621969671278728
